duplicate_slug,canonical_slug
a-helping-hand-inc,helping-hands-inc
advance-health-and-community-services-corp,advance-health-and-community-services-corporation
advanced-recovery-counseling-llc,advanced-recovery-counseling
adventist-health-system-sunbelt-inc,adventist-health-system
agape-network-inc,agape-network
all-family-resource-ctr-llc,all-family-resource-ctr
angels-for-kids-on-call-24-7-inc,angels-for-kids-on-call-247-inc
apalachee-center-inc,apalachee-center
aspire-health-partners-inc,aspire-health-partners
azul-therapy-servicesinc,azul-therapy-services-inc
banyan-community-health-center-inc,banyan-community-health
baycare-behavioral-health-inc,baycare-behavioral-health
behavioral-health-management-services-inc,behavioral-health-mgt-services-inc
better-way-of-miami-inc,better-way-of-miami
bio-medical-applications-of-florida-inc,bio-medical-applications-of-florida
blue-hope-behavioral-services-inc,a-blue-hope-inc
bma-of-florida-inc,bio-medical-applications-of-florida
boley-centers-inc,boley-centers
brave-health-inc,brave-health
bridgeway-center-inc,bridgeway-center
c-c-mental-and-family-services-corp,c-c-mental-and-family-services-corporation
camelot-community-care-inc,camelot-community-care
caring-community-counseling-llc,caring-community-counseling
carrousel-therapy-center-corporation,carrousel-therapy-corporation
center-for-individual-and-family-counseling-inc,center-for-individual-and-family-counseling
centerstone-of-florida-inc,centerstone-of-florida
central-florida-treatment-center,metro-treatment-of-florida-lp
child-guidance-center-inc,child-guidance-center
childrens-hospital-colorado,childrens-hospital
childrens-hospital-corporation,childrens-hospital
childrens-hospital-medical-center,childrens-hospital
chrysalis-center-llc,chrysalis-center-inc
circles-of-care-inc,circles-of-care
citrus-health-network-inc,citrus-health-network
citrus-health-networkinc,citrus-health-network
clay-behavioral-health-center-inc,clay-behavioral-health-center
community-health-center-of-pinellas-inc,community-health-centers-inc
community-health-centers-of-pinellas-inc,community-health-centers-inc
community-health-of-south-fl-inc,community-health-of-south-florida
community-health-of-south-florida-inc,community-health-of-south-florida
community-rehabilitation-center-inc,community-rehab-center
david-lawrence-center-for-behavioral-health,david-lawrence-center
david-lawrence-mental-health-center-inc,david-lawrence-center
directions-for-mental-health-inc,directions-for-living
douglas-gardens-comm-mntl-hlth-ctr-of-miami-beach,douglas-gardens-community-mental-health-center
douglas-gardens-community-mental-health-center-of-miami-beach-inc,douglas-gardens-community-mental-health-center
drug-abuse-treatment-assoc-inc,drug-abuse-treatment-association
eden-medical-center-llc,eden-medical-center
epic-community-services-inc,epic-behavioral-healthcare
families-first-of-florida-llc,families-first-of-florida
family-health-centers-of-southwest-florida-inc,family-health-centers-of-sw-florida
florida-community-health-centers-inc,community-health-centers-inc
gateway-comm-services,gateway-community-services
golden-years-servicing-llc,golden-years-servicing
health-planning-council-of-southwest-florida-inc,health-planning-council-of-southwest-fl-inc
helping-hands-behavioral-and-family-services-inc,helping-hands-inc
henderson-behavioral-health-inc,henderson-behavioral-health
hibiscus-childrens-center-inc,hibiscus-childrens-center
ibis-healthcare-inc,ibis-healthcare
impower-inc,impower
infinite-complete-care-llc,infinite-complete-care
jessie-trice-community-health-systeminc,jessie-trice-community-health-system-inc
johns-hopkins-all-childrens-hospital-inc,childrens-hospital
kinder-konsulting-parents-too-inc,kinder-konsulting-parents-too
laboratory-corp-of-america-holdings,laboratory-corporation-of-america
laboratory-corporation-of-america-holdings,laboratory-corporation-of-america
lakeview-center-inc,lakeview-center
life-management-center,life-management-center-of-northwest-florida
lifestream-behavioral-center-inc,lifestream-behavioral-center
marlyn-enterprises-of-jacksonville-inc,marlyn-enterprises-of-jacksonville
meridian-behavioral-healthcare-inc,meridian-healthcare
millenium-clinic-of-dade-inc,millenium-clinic-inc
monarch-all-health-llc,monarch-all-health
multilingual-psychotherapy-cntrs,multilingual-psychotherapy-centers-inc
neumind-wellness-group-llc,neumind-wellness-group
new-horizons-comm-mentl,new-horizons-community-mental-health-center
new-horizons-community-mental-health-center-inc,new-horizons-community-mental-health-center
new-horizons-of-the-treasure-coast-inc,new-horizons-of-the-treasure-coast-and-okeechobee
operation-par-inc,operation-par
optimum-potential-community-services-llc,optimum-potential-community-services
osceola-mental-health-inc,park-place-behavioral-health-care
osceola-mental-healthinc,park-place-behavioral-health-care
passageway-residence-of-dade-county-inc,passageway
