zip5,po_name,primary_ruca,secondary_ruca,ruca_category
00041,West Broward County,10,10,ultra_rural
00042,Southwest Brevard Cnty,1,1,urban
00043,Everglades,2,2,urban
00045,Southeast Marion Cnty,2,2,urban
00053,Southwest Palm Beach Co,1,1,urban
00087,NW Indian River County,10,10,ultra_rural
00097,Everglades-Monroe County,10,10,ultra_rural
00098,Everglades-S Monroe Cnty,10,10,ultra_rural
32003,Fleming Island,1,1,urban
32004,Ponte Vedra Beach,1,1,urban
32006,Fleming Island,1,1,urban
32007,Bostwick,5,5,suburban
32008,Branford,10,10,ultra_rural
32009,Bryceville,2,2,urban
32011,Callahan,2,2,urban
32013,Day,10,10,ultra_rural
32024,Lake City,5,5,suburban
32025,Lake City,4,4,suburban
32030,Doctors Inlet,2,2,urban
32033,Elkton,2,2,urban
32034,Fernandina Beach,1,1.1,urban
32035,Fernandina Beach,1,1.1,urban
32038,Fort White,3,3,urban
32040,Glen Saint Mary,2,2,urban
32041,Yulee,2,2,urban
32042,Graham,2,2,urban
32043,Green Cove Springs,2,2,urban
32044,Hampton,2,2,urban
32046,Hilliard,2,2,urban
32050,Middleburg,2,2,urban
32052,Jasper,10,10,ultra_rural
32053,Jennings,2,2,urban
32054,Lake Butler,10,10.1,ultra_rural
32055,Lake City,5,5,suburban
32056,Lake City,4,4,suburban
32058,Lawtey,3,3,urban
32059,Lee,10,10,ultra_rural
32060,Live Oak,10,10,ultra_rural
32061,Lulu,5,5,suburban
32062,Mc Alpin,6,6,suburban
32063,Macclenny,2,2,urban
32064,Live Oak,10,10,ultra_rural
32065,Orange Park,1,1,urban
32066,Mayo,10,10,ultra_rural
32067,Orange Park,1,1,urban
32068,Middleburg,1,1,urban
32071,O Brien,10,10,ultra_rural
32073,Orange Park,1,1,urban
32079,Penney Farms,2,2,urban
32080,Saint Augustine,1,1,urban
32081,Ponte Vedra,1,1,urban
32082,Ponte Vedra Beach,1,1,urban
32083,Raiford,10,10,ultra_rural
32084,Saint Augustine,1,1,urban
32085,Saint Augustine,1,1,urban
32086,Saint Augustine,1,1,urban
32087,Sanderson,2,2,urban
32091,Starke,7,7,rural
32092,Saint Augustine,2,2,urban
32094,Wellborn,10,10,ultra_rural
32095,Saint Augustine,1,1,urban
32096,White Springs,5,5,suburban
32097,Yulee,1,1.1,urban
32099,Jacksonville,1,1,urban
32102,Astor,10,10,ultra_rural
32105,Barberville,2,2,urban
32110,Bunnell,2,2,urban
32111,Candler,1,1,urban
32112,Crescent City,2,2,urban
32113,Citra,2,2,urban
32114,Daytona Beach,1,1,urban
32115,Daytona Beach,1,1,urban
32116,Daytona Beach,1,1,urban
32117,Daytona Beach,1,1,urban
32118,Daytona Beach,1,1,urban
32119,Daytona Beach,1,1,urban
32120,Daytona Beach,1,1,urban
32121,Daytona Beach,1,1,urban
32122,Daytona Beach,1,1,urban
32123,Port Orange,1,1,urban
32124,Daytona Beach,1,1,urban
32125,Daytona Beach,1,1,urban
32126,Daytona Beach,1,1,urban
32127,Port Orange,1,1,urban
32128,Port Orange,1,1,urban
32129,Port Orange,1,1,urban
32130,De Leon Springs,1,1,urban
32131,East Palatka,6,6,suburban
32132,Edgewater,1,1,urban
32133,Eastlake Weir,2,2,urban
32134,Fort Mc Coy,2,2,urban
32135,Palm Coast,1,1,urban
32136,Flagler Beach,1,1,urban
32137,Palm Coast,1,1,urban
32138,Grandin,2,2,urban
32139,Georgetown,3,3,urban
32140,Florahome,6,6,suburban
32141,Edgewater,1,1,urban
32142,Palm Coast,1,1,urban
32143,Palm Coast,1,1,urban
32145,Hastings,2,2,urban
32147,Hollister,6,6,suburban
32148,Interlachen,6,6,suburban
32149,Interlachen,5,5,suburban
32157,Lake Como,10,10,ultra_rural
32158,Lady Lake,1,1,urban
32159,Lady Lake,1,1,urban
32160,Lake Geneva,7,7,rural
32162,The Villages,1,1,urban
32163,The Villages,1,1,urban
32164,Palm Coast,1,1,urban
32168,New Smyrna Beach,1,1,urban
32169,New Smyrna Beach,1,1,urban
32170,New Smyrna Beach,1,1,urban
32173,Ormond Beach,1,1,urban
32174,Ormond Beach,1,1,urban
32175,Ormond Beach,1,1,urban
32176,Ormond Beach,1,1,urban
32177,Palatka,4,4,suburban
32178,Palatka,4,4,suburban
32179,Ocklawaha,2,2,urban
32180,Pierson,3,3,urban
32181,Pomona Park,10,10,ultra_rural
32182,Orange Springs,2,2,urban
32183,Ocklawaha,1,1,urban
32185,Putnam Hall,2,2,urban
32187,San Mateo,5,5,suburban
32189,Satsuma,10,10,ultra_rural
32190,Seville,3,3,urban
32192,Sparr,2,2,urban
32193,Welaka,10,10,ultra_rural
32195,Weirsdale,2,2,urban
32198,Daytona Beach,1,1,urban
32201,Jacksonville,1,1,urban
32202,Jacksonville,1,1,urban
32203,Jacksonville,1,1,urban
32204,Jacksonville,1,1,urban
32205,Jacksonville,1,1,urban
32206,Jacksonville,1,1,urban
32207,Jacksonville,1,1,urban
32208,Jacksonville,1,1,urban
32209,Jacksonville,1,1,urban
32210,Jacksonville,1,1,urban
32211,Jacksonville,1,1,urban
32212,Jacksonville,1,1,urban
32214,Jacksonville,1,1,urban
32216,Jacksonville,1,1,urban
32217,Jacksonville,1,1,urban
32218,Jacksonville,1,1,urban
32219,Jacksonville,1,1,urban
32220,Jacksonville,1,1,urban
32221,Jacksonville,1,1,urban
32222,Jacksonville,1,1,urban
32223,Jacksonville,1,1,urban
32224,Jacksonville,1,1,urban
32225,Jacksonville,1,1,urban
32226,Jacksonville,1,1,urban
32227,Jacksonville,1,1,urban
32228,Jacksonville,1,1,urban
